               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  75,            0.036944,           0.0056052,           0.0018102,             0.43076,             0.51421,             0.43462,              0.2587,            0.032843,           0.0060332,           0.0014537,          3.3169e-05,          3.3169e-05,          3.3169e-05
                  76,            0.036654,           0.0054891,           0.0018422,             0.43718,             0.50082,             0.43819,             0.26096,            0.032769,           0.0060334,           0.0014452,          3.2266e-05,          3.2266e-05,          3.2266e-05
                  77,            0.036798,           0.0055243,           0.0017354,             0.44146,             0.51124,             0.44032,             0.26142,            0.032765,           0.0060203,           0.0014445,          3.1363e-05,          3.1363e-05,          3.1363e-05
                  78,            0.036966,           0.0057261,           0.0018473,             0.44205,             0.50848,             0.44064,              0.2654,             0.03277,           0.0060178,           0.0014189,           3.046e-05,           3.046e-05,           3.046e-05
                  79,            0.037298,           0.0056925,           0.0018753,             0.44134,             0.49875,             0.44103,             0.26272,            0.032682,           0.0060111,            0.001402,          2.9557e-05,          2.9557e-05,          2.9557e-05
                  80,            0.037233,           0.0055258,           0.0016766,             0.44521,             0.50553,             0.44402,             0.26397,            0.032704,           0.0060016,            0.001397,          2.8654e-05,          2.8654e-05,          2.8654e-05
                  81,            0.036966,           0.0056831,           0.0019601,             0.42859,             0.50226,             0.44226,             0.26362,            0.032597,           0.0059948,           0.0014098,           2.775e-05,           2.775e-05,           2.775e-05
                  82,            0.036556,           0.0056266,            0.001727,             0.44954,             0.50211,             0.44725,             0.26638,            0.032673,            0.005985,           0.0014088,          2.6847e-05,          2.6847e-05,          2.6847e-05
                  83,            0.037291,           0.0055396,           0.0017532,             0.44286,              0.5143,             0.44731,              0.2671,            0.032651,            0.005985,           0.0014157,          2.5944e-05,          2.5944e-05,          2.5944e-05
                  84,            0.036551,           0.0055157,           0.0017378,             0.45021,             0.50816,             0.44883,             0.26766,            0.032683,           0.0059834,           0.0014288,          2.5041e-05,          2.5041e-05,          2.5041e-05
                  85,            0.036749,           0.0055726,           0.0017482,             0.44645,             0.50003,             0.44641,             0.26709,              0.0326,           0.0059766,            0.001422,          2.4138e-05,          2.4138e-05,          2.4138e-05
                  86,            0.036847,           0.0056993,           0.0018316,             0.44843,             0.50418,             0.44421,             0.26645,            0.032604,           0.0059634,           0.0014119,          2.3235e-05,          2.3235e-05,          2.3235e-05
                  87,             0.03703,           0.0056022,           0.0017921,             0.44858,              0.5071,             0.44726,             0.26693,            0.032503,           0.0059578,           0.0013989,          2.2332e-05,          2.2332e-05,          2.2332e-05
